21	Subcategoria	A031	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Shigelose devido a Shigella flexneri
22	Subcategoria	A032	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Shigelose devido a Shigella boydii
23	Subcategoria	A033	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Shigelose devido a Shigella sonnei
24	Subcategoria	A038	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Outras shigelose
25	Subcategoria	A039	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Shigelose, não especificado
26	Categoria	A04	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Outras infecções bacterianas intestinais
27	Subcategoria	A040	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Infecção por Escherichia coli enteropatogênica
28	Subcategoria	A041	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Infecção por Escherichia coli enterotoxigênica
29	Subcategoria	A042	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Infecção por Escherichia coli enteroinvasora
30	Subcategoria	A043	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Infecção por Escherichia coli entero-hemorrágica
31	Subcategoria	A044	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Outras infecções intestinais por Escherichia coli
32	Subcategoria	A045	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Enterite por Campylobacter
33	Subcategoria	A046	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Enterite devida a Yersinia enterocolitica
34	Subcategoria	A047	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Enterocolite devido a Clostridium difficile
35	Subcategoria	A048	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Outras infecções bacterianas intestinais especificadas
36	Subcategoria	A049	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Infecção intestinal bacteriana, não especificada
37	Categoria	A05	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Outras intoxicações bacterianas por alimentos, não classificadas em outra parte
38	Subcategoria	A050	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Intoxicação estafilocócica transmitida por alimentos
39	Subcategoria	A051	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Botulismo
40	Subcategoria	A052	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Intoxicação alimentar por Clostridium perfringens [Clostridium welchii]
41	Subcategoria	A053	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Intoxicação alimentar Vibrio parahaemolyticus
42	Subcategoria	A054	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Intoxicação por Bacillus cereus transmitida por alimentos
43	Subcategoria	A058	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Outras intoxicações bacterianas causadas por alimentos
44	Subcategoria	A059	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Intoxicação bacteriana por alimentos, não especificada
45	Categoria	A06	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Amebíase
46	Subcategoria	A060	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Disenteria amebiana aguda
47	Subcategoria	A061	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Amebíase intestinal crônica
48	Subcategoria	A062	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Colite não-sistêmica amebiana
49	Subcategoria	A063	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Ameba do intestino
50	Subcategoria	A064	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Abscesso hepático amebiano
51	Subcategoria	A065	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Abscesso pulmonar amebiana
52	Subcategoria	A066	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Abscesso cerebral amebiana
53	Subcategoria	A067	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Amebíase cutânea
54	Subcategoria	A068	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Infecção amebiana de outros sites
55	Subcategoria	A069	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Amebíase não especificada
56	Categoria	A07	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Outras doenças intestinais protozoárias
57	Subcategoria	A070	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Balantidíase
58	Subcategoria	A071	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Giardíase [lamblíase]
59	Subcategoria	A072	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Criptosporidiose
60	Subcategoria	A073	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Isosporíase
61	Subcategoria	A078	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Outras doenças intestinais protozoárias especificadas
62	Subcategoria	A079	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Doença intestinal protozoária, não especificada
63	Categoria	A08	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Virais e outras infecções intestinais especificadas
64	Subcategoria	A080	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Enterite rotaviral
65	Subcategoria	A081	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Gastroenterite aguda devido a vírus tipo Norwalk
66	Subcategoria	A082	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Enterite adenoviral
67	Subcategoria	A083	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Outras enterites virais
68	Subcategoria	A084	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Infecção intestinal viral, não especificada
69	Subcategoria	A085	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Outras infecções intestinais especificadas
70	Categoria	A09	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Outras gastroenterites e colites de origem infecciosa e não especificada
71	Subcategoria	A090	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Outras gastroenterites e colites não especificadas de origem infecciosa
72	Subcategoria	A099	I	Certas doenças infecciosas e parasitárias	Doenças infecciosas intestinais	Gastroenterite e colite de origem não especificada
73	Grupo	A15-A19	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose
74	Categoria	A15	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose respiratória, confirmada bacteriológica e histologicamente
75	Subcategoria	A150	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose pulmonar confirmada por microscopia de escarro com ou sem cultura
76	Subcategoria	A151	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose do pulmão, confirmada apenas por cultura
77	Subcategoria	A152	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose do pulmão, confirmada histologicamente
78	Subcategoria	A153	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose do pulmão, confirmada por meios não especificados
79	Subcategoria	A154	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose de linfonodos intratorácicos, confirmados bacteriológica e histologicamente
80	Subcategoria	A155	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose da laringe, traquéia e brônquio, confirmada bacteriológica e histologicamente
81	Subcategoria	A156	I	Certas doenças infecciosas e parasitárias	Tuberculose	Pleurisia tuberculosa, confirmada bacteriologicamente e histologicamente
82	Subcategoria	A157	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose respiratória primária, confirmada bacteriologicamente e histologicamente
83	Subcategoria	A158	I	Certas doenças infecciosas e parasitárias	Tuberculose	Outra tuberculose respiratória, confirmada bacteriologicamente e histologicamente
84	Subcategoria	A159	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose respiratória não especificada, confirmada bacteriológica e histologicamente
85	Categoria	A16	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose respiratória, não confirmada bacteriológica ou histologicamente
86	Subcategoria	A160	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose do pulmão, bacteriológica e histologicamente negativa
87	Subcategoria	A161	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose do pulmão, exame bacteriológico e histológico não realizado
88	Subcategoria	A162	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose de pulmão, sem menção de confirmação bacteriológica ou histológica
89	Subcategoria	A163	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose dos gânglios linfáticos intratorácicos, sem menção de confirmação bacteriológica ou histológica
90	Subcategoria	A164	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose da laringe, traquéia e brônquio, sem menção de confirmação bacteriológica ou histológica
91	Subcategoria	A165	I	Certas doenças infecciosas e parasitárias	Tuberculose	Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica
92	Subcategoria	A167	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose respiratória primária sem menção de confirmação bacteriológica ou histológica
93	Subcategoria	A168	I	Certas doenças infecciosas e parasitárias	Tuberculose	Outra tuberculose respiratória, sem menção de confirmação bacteriológica ou histológica
94	Subcategoria	A169	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose respiratória não especificada, sem menção de confirmação bacteriológica ou histológica
95	Categoria	A17	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose do sistema nervoso
96	Subcategoria	A170	I	Certas doenças infecciosas e parasitárias	Tuberculose	Meningite tuberculosa
97	Subcategoria	A171	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculoma Meningeal
98	Subcategoria	A178	I	Certas doenças infecciosas e parasitárias	Tuberculose	Outra tuberculose do sistema nervoso
99	Subcategoria	A179	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose do sistema nervoso, não especificado
100	Categoria	A18	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose de outros órgãos
101	Subcategoria	A180	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose de ossos e articulações
102	Subcategoria	A181	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose do aparelho geniturinário
103	Subcategoria	A182	I	Certas doenças infecciosas e parasitárias	Tuberculose	Linfadenopatia periférica tuberculosa
104	Subcategoria	A183	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose de intestinos, peritônio e glândulas mesentéricas
105	Subcategoria	A184	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose da pele e tecido subcutâneo
106	Subcategoria	A185	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose do olho
107	Subcategoria	A186	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose da orelha
108	Subcategoria	A187	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose das glândulas supra-renais
109	Subcategoria	A188	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose de outros órgãos especificados
110	Categoria	A19	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose miliar
111	Subcategoria	A190	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose miliar aguda de um único local especificado
112	Subcategoria	A191	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose miliar aguda de múltiplos sítios
113	Subcategoria	A192	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose miliar aguda, não especificada
114	Subcategoria	A198	I	Certas doenças infecciosas e parasitárias	Tuberculose	Outra tuberculose miliar
115	Subcategoria	A199	I	Certas doenças infecciosas e parasitárias	Tuberculose	Tuberculose miliar, não especificada
116	Grupo	A20-A28	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Certas doenças bacterianas zoonóticas
117	Categoria	A20	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Peste
118	Subcategoria	A200	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Peste bubônica
119	Subcategoria	A201	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Peste celulocutânea
120	Subcategoria	A202	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Peste pneumônica
121	Subcategoria	A203	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Meningite por peste
122	Subcategoria	A207	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Sepsis por peste
123	SubCategoria	A208	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Outras formas de peste
124	Subcategoria	A209	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Peste, não especificada
125	Categoria	A21	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Tularemia
126	Subcategoria	A210	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Tularemia ulceroglandular
127	Subcategoria	A211	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Tularemia oculoglandular
128	Subcategoria	A212	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Tularemia pulmonar
129	Subcategoria	A213	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Tularemia gastrointestinal
130	Subcategoria	A217	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Tularemia generalizada
131	Subcategoria	A218	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Outras formas de Tularemia
132	Subcategoria	A219	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Tularemia, não especificada
133	Categoria	A22	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Antraz
134	Subcategoria	A220	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Antraz cutâneo
135	Subcategoria	A221	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Antraz pulmonar
136	Subcategoria	A222	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Antraz gastrointestinal
137	Subcategoria	A227	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Sepse do antraz
138	Subcategoria	A228	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Outras formas de antraz
139	Subcategoria	A229	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Antraz, não especificado
140	Categoria	A23	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Brucelose
141	Subcategoria	A230	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Brucelose devida a Brucella melitensis
142	Subcategoria	A231	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Brucelose devida a Brucella abortus
143	Subcategoria	A232	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Brucelose devida a Brucella suis
144	Subcategoria	A233	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Brucelose devida a Brucella canis
145	Subcategoria	A238	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Outras brucelose
146	Subcategoria	A239	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Brucelose não especificada
147	Categoria	A24	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Glanders e melioidose
148	Subcategoria	A240	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Glanders
149	Subcategoria	A241	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Melioidose aguda e fulminante
150	Subcategoria	A242	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Melioidose subaguda e crônica
151	Subcategoria	A243	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Outras melioidose
152	Subcategoria	A244	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Melioidose não especificada
153	Categoria	A25	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Febres mordida de roedores
154	SubCategoria	A250	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	espirilose
155	Subcategoria	A251	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Estreptobacilose
156	Subcategoria	A259	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Febre de mordida de rato, não especificada
157	Categoria	A26	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Erisipela
158	Subcategoria	A260	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Erisipela cutâneo
159	Subcategoria	A267	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Sepse por Erisipela
160	Subcategoria	A268	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Outras formas de erisipelóide
161	Subcategoria	A269	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Erisipela não especificado
162	Categoria	A27	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Leptospirose
163	Subcategoria	A270	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Leptospirose icterohaemorrhagica
164	Subcategoria	A278	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Outras formas de leptospirose
165	Subcategoria	A279	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Leptospirose, não especificada
166	Categoria	A28	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Outras doenças bacterianas zoonóticas, não classificadas em outra parte
167	Subcategoria	A280	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Pasteurelose
168	Subcategoria	A281	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Doença da arranhadura do gato
169	Subcategoria	A282	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Yersinose extraintestinal
170	Subcategoria	A288	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Outras doenças bacterianas zoonóticas especificadas, não classificadas em outra parte
171	Subcategoria	A289	I	Certas doenças infecciosas e parasitárias	Certas doenças bacterianas zoonóticas	Doença bacteriana zoonóticas, não especificada
172	Grupo	A30-A49	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Outras doenças bacterianas
173	Categoria	A30	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Lepra [Doença de Hansen]
174	Subcategoria	A300	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Hanseníase Indeterminada
175	Subcategoria	A301	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Hanseníase Tuberculoide
176	Subcategoria	A302	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Lepra tuberculóide limítrofe
177	Subcategoria	A303	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Lepra Borderline
178	Subcategoria	A304	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Lepra lepromatosa limítrofe
179	Subcategoria	A305	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Lepra lepromatosa
180	Subcategoria	A308	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Outras formas de lepra
181	Subcategoria	A309	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Hanseníase não especificada
182	Categoria	A31	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Infecção devido a outras micobactérias
183	Subcategoria	A310	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Infecção micobacteriana pulmonar
184	Subcategoria	A311	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Infecção micobacteriana cutânea
185	Subcategoria	A318	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Outras infecções micobacterianas
186	Subcategoria	A319	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Infecção por micobactérias não especificadas
187	Categoria	A32	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Listeriose
188	Subcategoria	A320	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Listeriose cutânea
189	Subcategoria	A321	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Meningite listerial e meningoencefalite
190	Subcategoria	A327	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Sepse listerial
191	Subcategoria	A328	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Outras formas de listeriose
192	Subcategoria	A329	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Listeriose, não especificada
193	Categoria	A33	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Tétano neonatal
194	Categoria	A34	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Tétano obstétrico
195	Categoria	A35	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Outro tétano
196	Categoria	A36	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Difteria
197	Subcategoria	A360	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Difteria faríngea
198	Subcategoria	A361	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Difteria Nasofaríngea
199	Subcategoria	A362	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Difteria laríngea
200	Subcategoria	A363	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Difteria cutânea
201	Subcategoria	A368	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Outra difteria
202	Subcategoria	A369	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Difteria, não especificada
203	Categoria	A37	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Coqueluche
204	Subcategoria	A370	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Tosse convulsa causada por Bordetella pertussis
205	Subcategoria	A371	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Tosse convulsa causada por Bordetella parapertussis
206	Subcategoria	A378	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Tosse convulsa devido a outras espécies de Bordetella
207	Subcategoria	A379	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Tosse convulsa, não especificada
208	Categoria	A38	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	escarlatina
209	Categoria	A39	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Infecção meningocócica
210	Subcategoria	A390	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Meningite meningocócica
211	Subcategoria	A391	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Síndrome de Waterhouse-Friderichsen
212	Subcategoria	A392	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Meningococemia aguda
213	Subcategoria	A393	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Meningococcemia crônica
214	Subcategoria	A394	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Meningococemia não especificada
215	Subcategoria	A395	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Doença cardíaca meningocócica
216	Subcategoria	A398	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Outras infecções meningocócicas
217	Subcategoria	A399	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Infecção meningocócica, não especificada
218	Categoria	A40	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Sepse estreptocócica
219	Subcategoria	A400	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Sepse devido ao estreptococo, grupo A
220	Subcategoria	A401	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Sepse devido ao estreptococo, grupo B
221	Subcategoria	A402	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Sepse devido ao estreptococo, grupo D
222	Subcategoria	A403	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Sepse devida a Streptococcus pneumoniae
223	Subcategoria	A408	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Outras sepses estreptocócicas
224	Subcategoria	A409	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Sepse estreptocócica, não especificada
225	Categoria	A41	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Outras sepse
226	Subcategoria	A410	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Sepse devido ao Staphylococcus aureus
227	Subcategoria	A411	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Sepsia devido a outro estafilococo especificado
228	Subcategoria	A412	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Sepse devido a estafilococo não especificado
229	Subcategoria	A413	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Sepse devida a Haemophilus influenzae
230	Subcategoria	A414	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Sepse devido a anaeróbios
231	Subcategoria	A415	I	Certas doenças infecciosas e parasitárias	Outras doenças bacterianas	Sepse devida a outros organismos Gram-negativos
